SITE_NO,node_id,node_lon,node_lat
3265,3374134102,144.9600834,-37.778076
3266,3374134102,144.9600834,-37.778076
3267,3374134102,144.9600834,-37.778076
3268,3374134102,144.9600834,-37.778076
3269,3374134102,144.9600834,-37.778076
3271,3374134102,144.9600834,-37.778076
3280,774545099,144.9583459,-37.8060861
3290,774545099,144.9583459,-37.8060861
3291,774545099,144.9583459,-37.8060861
3292,774545099,144.9583459,-37.8060861
3300,9515157446,144.9607317,-37.7919871
3301,9515157446,144.9607317,-37.7919871
3302,9515157446,144.9607317,-37.7919871
3303,9515157446,144.9607317,-37.7919871
3304,9515157446,144.9607317,-37.7919871
3305,9515157446,144.9607317,-37.7919871
3306,2209553724,144.9600525,-37.778965
3307,2209553724,144.9600525,-37.778965
3311,3374134102,144.9600834,-37.778076
3314,3374134102,144.9600834,-37.778076
3315,3374134102,144.9600834,-37.778076
3261,3374134102,144.9600834,-37.778076
3316,3374134102,144.9600834,-37.778076
3204,774545099,144.9583459,-37.8060861
3205,774545099,144.9583459,-37.8060861
3206,774545099,144.9583459,-37.8060861
3207,774545099,144.9583459,-37.8060861
1219,6646643418,144.936422,-37.7934532
1365,774545099,144.9583459,-37.8060861
3179,774545099,144.9583459,-37.8060861
2965,2180345319,144.93711,-37.7740075
2675,2180345319,144.93711,-37.7740075
2668,2180345319,144.93711,-37.7740075
5319,2142179147,144.9364301,-37.7994074
4688,3374134102,144.9600834,-37.778076
2835,777703067,144.9558722,-37.8058058
2676,2180345319,144.93711,-37.7740075
1621,52452407,144.9367102,-37.8003421
5276,52452407,144.9367102,-37.8003421
5284,52452407,144.9367102,-37.8003421
1034,2664366963,144.9579842,-37.7977023
1047,702452273,144.9420045,-37.8043054
535,774545099,144.9583459,-37.8060861
896,9515157446,144.9607317,-37.7919871
905,9515157446,144.9607317,-37.7919871
917,9515157446,144.9607317,-37.7919871
949,774545099,144.9583459,-37.8060861
883,774545099,144.9583459,-37.8060861
557,774545099,144.9583459,-37.8060861
558,774545099,144.9583459,-37.8060861
569,774545099,144.9583459,-37.8060861
968,774545099,144.9583459,-37.8060861
1072,9086096491,144.9508168,-37.8052602
2293,702451430,144.9452222,-37.8046637
2933,774545099,144.9583459,-37.8060861
104,3374134102,144.9600834,-37.778076
5141,52452407,144.9367102,-37.8003421
2522,52452407,144.9367102,-37.8003421
2523,52452407,144.9367102,-37.8003421
6410,2180345319,144.93711,-37.7740075
3719,52452407,144.9367102,-37.8003421
5136,52452407,144.9367102,-37.8003421
2191,2180345319,144.93711,-37.7740075
4872,774545099,144.9583459,-37.8060861
4421,2209553723,144.9597143,-37.781681
108,9515157446,144.9607317,-37.7919871
3836,2180345319,144.93711,-37.7740075
500,774545099,144.9583459,-37.8060861
2184,2180345319,144.93711,-37.7740075
5090,52452407,144.9367102,-37.8003421
3479,52452407,144.9367102,-37.8003421
2815,3374134100,144.9586073,-37.7778481
3253,2180345319,144.93711,-37.7740075
2853,6646643418,144.936422,-37.7934532
