NB_SCATS_SITE,offpeak_volume,peak_volume
532,7094.0,11278.0
533,9166.0,14569.0
534,2.0,0.0
535,6483.0,10140.0
537,9187.0,12842.0
538,15812.0,21094.0
541,4727.0,6688.0
542,2523.0,2847.0
543,9908.0,12355.0
544,10839.0,11672.0
545,2782.0,4380.0
546,,
547,5261.0,7843.0
548,13653.0,18374.0
549,9747.0,12302.0
550,4131.0,4677.0
551,6659.0,9151.0
552,3231.0,4888.0
553,1.0,0.0
554,4306.0,4266.0
555,3841.0,4522.0
556,9200.0,12699.0
557,4442.0,7691.0
558,3171.0,6463.0
559,10774.0,17302.0
563,5151.0,5537.0
564,4396.0,5502.0
565,3761.0,5343.0
567,6966.0,10696.0
568,1533.0,2896.0
569,10886.0,13695.0
570,8217.0,12913.0
571,2266.0,2785.0
572,3548.0,5182.0
573,2509.0,3777.0
574,14782.0,20852.0
575,12336.0,15829.0
576,13071.0,15074.0
577,8613.0,12333.0
578,6462.0,9419.0
579,5861.0,8100.0
580,0.0,0.0
581,7184.0,9632.0
582,2884.0,4921.0
585,6392.0,8362.0
587,8293.0,11183.0
589,,
590,4691.0,7064.0
591,8163.0,11615.0
592,7529.0,10504.0
594,11000.0,15401.0
595,6205.0,6921.0
596,3085.0,5239.0
597,3964.0,5768.0
598,8986.0,11538.0
599,10706.0,12035.0
600,7317.0,12000.0
601,6330.0,10212.0
602,8553.0,11090.0
604,14494.0,20007.0
605,10221.0,18687.0
606,5680.0,10093.0
607,4671.0,8813.0
608,8422.0,10930.0
609,5990.0,7936.0
610,5132.0,7611.0
611,9311.0,10872.0
612,7110.0,9414.0
613,3309.0,6671.0
614,8183.0,12408.0
616,3146.0,4471.0
617,4624.0,8293.0
618,4215.0,5895.0
619,5143.0,7129.0
620,12294.0,19822.0
621,7048.0,8884.0
622,8046.0,9577.0
623,4786.0,6278.0
624,4342.0,6303.0
625,0.0,0.0
626,5732.0,8620.0
627,1269.0,2196.0
628,6011.0,8749.0
629,9024.0,12774.0
630,5062.0,6527.0
631,12359.0,15112.0
632,0.0,0.0
633,4354.0,6573.0
634,14001.0,19759.0
637,7075.0,9804.0
638,4521.0,7076.0
639,5147.0,8236.0
640,7841.0,12210.0
641,3651.0,5590.0
643,2013.0,2948.0
644,2510.0,3750.0
646,8204.0,10476.0
648,6653.0,8508.0
649,4545.0,5681.0
650,4419.0,5724.0
651,3366.0,4504.0
653,1089.0,1489.0
654,2207.0,3292.0
655,3585.0,4707.0
656,7733.0,10427.0
657,6844.0,9504.0
658,0.0,0.0
659,9741.0,12858.0
660,8176.0,9192.0
661,10079.0,12846.0
662,8698.0,11017.0
663,5385.0,7092.0
664,9557.0,11667.0
665,8026.0,9059.0
666,3481.0,5452.0
667,1833.0,2370.0
668,5363.0,6612.0
669,4105.0,4448.0
670,8135.0,11659.0
671,7761.0,8779.0
674,10555.0,12138.0
676,2691.0,4292.0
678,9904.0,13860.0
679,782.0,958.0
680,8397.0,13177.0
681,4212.0,7101.0
682,5223.0,7142.0
684,0.0,0.0
685,2311.0,3872.0
686,9774.0,13756.0
687,6419.0,8660.0
688,0.0,0.0
689,1216.0,1786.0
690,5533.0,9318.0
691,7633.0,10483.0
692,1279.0,1849.0
693,5961.0,9507.0
694,1759.0,1991.0
695,2341.0,2698.0
696,11229.0,14485.0
697,3482.0,5527.0
698,7912.0,11006.0
700,12328.0,17285.0
701,4452.0,7997.0
702,6224.0,8184.0
703,5892.0,8380.0
704,5410.0,8821.0
705,7060.0,10272.0
706,3222.0,4458.0
707,3431.0,6041.0
708,5448.0,7472.0
709,5144.0,7236.0
710,9376.0,11391.0
711,5886.0,7451.0
712,9338.0,12862.0
713,5494.0,7504.0
714,5842.0,6948.0
715,4861.0,6123.0
716,4530.0,6047.0
717,7936.0,9480.0
718,4591.0,6308.0
719,5388.0,7866.0
720,4685.0,6808.0
721,2869.0,3385.0
723,7824.0,10156.0
724,5209.0,5379.0
725,12547.0,17208.0
727,5273.0,5477.0
728,5645.0,7309.0
729,5558.0,7193.0
730,2840.0,3331.0
731,13973.0,19039.0
733,8097.0,10813.0
734,5210.0,6617.0
735,7697.0,9457.0
737,14289.0,21147.0
738,8052.0,11776.0
739,2482.0,3718.0
740,1882.0,2562.0
741,2213.0,2401.0
742,3718.0,5130.0
743,7175.0,10338.0
744,10299.0,13723.0
745,4430.0,6073.0
746,6949.0,6445.0
747,9997.0,11301.0
748,3214.0,3841.0
749,8750.0,12226.0
750,3840.0,4836.0
751,5310.0,6502.0
752,10964.0,14867.0
753,4726.0,7063.0
754,5533.0,5657.0
755,10806.0,14557.0
756,6708.0,9739.0
761,3708.0,6204.0
763,2380.0,2937.0
764,10394.0,14096.0
765,14469.0,22228.0
766,6093.0,8336.0
767,4012.0,5353.0
770,4318.0,5592.0
771,5949.0,7470.0
772,0.0,0.0
773,4147.0,6849.0
774,7725.0,12162.0
775,10130.0,14127.0
776,4524.0,6079.0
777,11485.0,15513.0
778,9791.0,13090.0
779,5907.0,7316.0
780,4196.0,5371.0
781,6957.0,9830.0
782,11076.0,14231.0
783,8209.0,11470.0
784,13462.0,19611.0
785,10978.0,16129.0
786,10082.0,12222.0
787,3617.0,6158.0
788,8126.0,10122.0
789,4350.0,6528.0
790,7912.0,11017.0
791,9151.0,11744.0
792,4763.0,6460.0
793,9612.0,12422.0
794,7616.0,10686.0
795,9896.0,11908.0
796,10110.0,15067.0
797,0.0,0.0
798,8447.0,12237.0
799,9422.0,13472.0
800,3714.0,6528.0
801,5087.0,5841.0
803,6627.0,9826.0
804,4910.0,8195.0
806,5040.0,6470.0
807,5614.0,8121.0
808,2195.0,3609.0
812,3977.0,4411.0
814,,
815,4561.0,7687.0
817,2862.0,3643.0
818,2904.0,3978.0
820,1906.0,2750.0
821,4322.0,5398.0
822,7070.0,10120.0
823,2382.0,3364.0
824,4839.0,8235.0
825,6622.0,8669.0
827,6189.0,8543.0
833,4807.0,4952.0
834,3811.0,4180.0
841,5242.0,6428.0
842,6291.0,7566.0
843,7328.0,9326.0
844,9352.0,13271.0
845,5815.0,7325.0
846,7471.0,9362.0
847,7042.0,8433.0
848,8093.0,10169.0
849,24131.0,32582.0
850,5827.0,8351.0
851,6769.0,10028.0
853,11474.0,16246.0
854,9637.0,12742.0
855,18498.0,22764.0
857,7573.0,10436.0
858,6440.0,9367.0
859,6748.0,7892.0
860,10969.0,14542.0
861,6691.0,8546.0
863,9770.0,12285.0
864,6378.0,8772.0
865,10291.0,14152.0
866,4156.0,4581.0
867,15349.0,22438.0
868,4409.0,6236.0
869,14323.0,20811.0
871,9418.0,13678.0
872,0.0,0.0
873,6273.0,9044.0
879,3215.0,3536.0
881,4523.0,6690.0
886,8592.0,11290.0
888,9728.0,13246.0
889,8446.0,11251.0
891,5954.0,6408.0
892,5388.0,8393.0
893,12386.0,18478.0
895,7528.0,8792.0
896,10309.0,10900.0
897,4348.0,5723.0
898,2737.0,4364.0
900,5462.0,7755.0
901,7780.0,11065.0
904,2657.0,3704.0
906,10142.0,12125.0
907,7481.0,8744.0
908,3599.0,5151.0
910,6095.0,8436.0
912,3938.0,5764.0
913,4426.0,6544.0
915,7601.0,8976.0
917,2362.0,4548.0
918,2567.0,3226.0
919,3974.0,5662.0
920,4733.0,7024.0
921,2032.0,2523.0
923,11531.0,16131.0
924,9044.0,13420.0
925,3499.0,5556.0
926,3010.0,3746.0
927,5604.0,9273.0
929,6228.0,8771.0
930,5676.0,7449.0
932,9003.0,13476.0
933,3433.0,5180.0
935,7452.0,12537.0
936,8769.0,13281.0
937,3900.0,4855.0
938,7295.0,9720.0
939,7782.0,11669.0
940,0.0,0.0
941,8522.0,12405.0
942,3473.0,5581.0
943,6291.0,8062.0
944,7739.0,10960.0
947,4120.0,5677.0
948,16490.0,23054.0
949,1698.0,2160.0
952,5520.0,6096.0
953,2870.0,4603.0
954,9175.0,13233.0
955,2099.0,1963.0
959,5530.0,7052.0
960,7530.0,6190.0
961,8506.0,9853.0
962,9277.0,12660.0
963,8200.0,11273.0
964,4481.0,5888.0
965,10732.0,12584.0
966,3488.0,5704.0
967,2656.0,5073.0
968,2996.0,4082.0
969,2519.0,3576.0
970,9270.0,12160.0
971,5956.0,8843.0
972,602.0,395.0
973,1743.0,3052.0
974,12872.0,17595.0
975,3965.0,6606.0
976,4676.0,6341.0
977,5732.0,8033.0
979,6981.0,8793.0
981,5869.0,8399.0
982,6006.0,7928.0
983,4874.0,6175.0
984,12056.0,17470.0
985,3360.0,3392.0
986,3261.0,5146.0
987,8404.0,10100.0
988,3037.0,2675.0
989,4078.0,5703.0
990,5115.0,5159.0
991,10964.0,13678.0
992,4434.0,6537.0
994,5008.0,7735.0
995,7604.0,9970.0
998,8700.0,9613.0
999,17235.0,21699.0
1000,4481.0,4805.0
1001,8102.0,9873.0
1002,4121.0,5737.0
1003,4105.0,4026.0
1005,3866.0,3981.0
1006,4471.0,4116.0
1007,9272.0,9958.0
1009,3328.0,4074.0
1010,3979.0,5182.0
1011,3953.0,5660.0
1012,9761.0,10892.0
1013,3120.0,4096.0
1014,3045.0,4025.0
1017,6253.0,7317.0
1018,8568.0,11317.0
1019,5987.0,8044.0
1023,10769.0,14659.0
1024,3910.0,5418.0
1026,8292.0,11470.0
1028,2650.0,4732.0
1029,2110.0,3087.0
1031,4222.0,4447.0
1034,1958.0,2198.0
1036,3390.0,4461.0
1037,5912.0,7276.0
1038,12536.0,12731.0
1039,4377.0,5461.0
1043,1776.0,3097.0
1044,5453.0,7056.0
1045,6084.0,8116.0
1046,8267.0,10745.0
1047,2299.0,3642.0
1048,3796.0,5582.0
1050,10945.0,12613.0
1051,2423.0,3255.0
1052,3983.0,5946.0
1053,1764.0,2849.0
1054,2639.0,3683.0
1056,6633.0,10041.0
1057,6200.0,8527.0
1059,2466.0,2226.0
1061,9283.0,9973.0
1063,6740.0,7080.0
1064,6686.0,7004.0
1065,6120.0,9140.0
1066,2418.0,3276.0
1067,3733.0,4281.0
1068,3698.0,5061.0
1069,1713.0,2072.0
1071,5612.0,7582.0
1072,2341.0,2522.0
1073,7560.0,8595.0
1075,2550.0,2433.0
1076,3165.0,4150.0
1077,6521.0,9593.0
1078,6741.0,9175.0
1079,2649.0,3285.0
1080,3216.0,4633.0
1081,4662.0,8055.0
1091,6297.0,6918.0
1093,9754.0,12729.0
1094,9500.0,11171.0
1095,7894.0,9272.0
1097,9544.0,11054.0
1099,5455.0,5846.0
1100,14799.0,18679.0
1101,8844.0,11381.0
1102,8877.0,12200.0
1103,8356.0,13377.0
1104,7964.0,11821.0
1105,8923.0,15621.0
1107,10758.0,17209.0
1108,10036.0,15161.0
1109,3218.0,4876.0
1110,0.0,0.0
1111,7493.0,10179.0
1112,10846.0,15528.0
1113,11221.0,13468.0
1114,8811.0,14250.0
1117,5655.0,8935.0
1118,9604.0,15014.0
1119,9098.0,13736.0
1120,12733.0,16797.0
1121,13576.0,18250.0
1122,10099.0,11495.0
1123,7413.0,9834.0
1137,2.0,1.0
1138,10104.0,14428.0
1139,3156.0,5319.0
1140,6676.0,9773.0
1141,1988.0,2241.0
1142,1149.0,1408.0
1144,16555.0,21499.0
1145,10220.0,12690.0
1146,3899.0,6797.0
1147,3317.0,6057.0
1148,3953.0,7513.0
1149,3516.0,6156.0
1150,5563.0,7093.0
1151,5221.0,5497.0
1152,3312.0,4443.0
1154,3997.0,6964.0
1156,15616.0,18293.0
1157,5263.0,6065.0
1158,1702.0,1555.0
1159,2220.0,2574.0
1160,2145.0,3314.0
1161,6216.0,6781.0
1162,3842.0,5429.0
1164,5086.0,7913.0
1165,5563.0,7289.0
1166,3705.0,4653.0
1167,5862.0,6313.0
1168,,
1169,3718.0,5131.0
1170,7202.0,9055.0
1171,5945.0,8027.0
1174,4703.0,7183.0
1176,2264.0,3044.0
1177,1471.0,1933.0
1178,8490.0,9967.0
1180,4912.0,6468.0
1181,6272.0,8602.0
1182,12241.0,18362.0
1183,2967.0,4030.0
1184,5977.0,8916.0
1185,8267.0,10930.0
1186,7158.0,7990.0
1188,1764.0,1948.0
1190,12193.0,14203.0
1191,1519.0,1948.0
1192,3443.0,4674.0
1195,8054.0,11087.0
1196,9342.0,11846.0
1197,24686.0,29811.0
1198,7018.0,10283.0
1200,6087.0,7532.0
1202,8063.0,9415.0
1203,5256.0,8496.0
1204,2023.0,2127.0
1205,5625.0,8084.0
1207,2875.0,4180.0
1208,4649.0,8044.0
1209,6459.0,8263.0
1211,8828.0,15427.0
1212,2937.0,6044.0
1213,2039.0,3571.0
1214,1981.0,4266.0
1215,3316.0,5906.0
1216,,
1217,2845.0,3497.0
1218,7900.0,13224.0
1219,2139.0,3110.0
1220,13594.0,13987.0
1225,2389.0,4093.0
1226,1794.0,3318.0
1227,1713.0,3292.0
1229,5236.0,8072.0
1230,3610.0,6611.0
1234,8228.0,13106.0
1235,7522.0,8952.0
1236,4714.0,6889.0
1237,5497.0,7211.0
1238,4046.0,4992.0
1240,7232.0,8406.0
1241,4239.0,5531.0
1242,2864.0,4419.0
1243,2811.0,4357.0
1244,2705.0,4278.0
1245,6142.0,8845.0
1246,6787.0,11270.0
1247,6947.0,10378.0
1249,6367.0,9108.0
1251,4776.0,4951.0
1256,6882.0,7893.0
1257,8702.0,9478.0
1258,1446.0,2261.0
1259,4842.0,5404.0
1260,3963.0,5692.0
1261,5398.0,8512.0
1262,4322.0,7147.0
1263,914.0,1327.0
1264,5390.0,7769.0
1266,1846.0,2910.0
1267,11287.0,15195.0
1297,3409.0,5232.0
1298,3162.0,4867.0
1299,2101.0,3197.0
1300,596.0,740.0
1301,6478.0,6823.0
1302,13321.0,16471.0
1303,7034.0,8261.0
1304,9040.0,14800.0
1305,5683.0,7684.0
1306,9402.0,9318.0
1307,1760.0,3601.0
1309,6354.0,7507.0
1310,10093.0,16666.0
1311,3963.0,6543.0
1312,9437.0,9357.0
1313,3170.0,5461.0
1314,0.0,0.0
1315,4387.0,8248.0
1316,4132.0,3878.0
1320,2824.0,3880.0
1321,4890.0,6785.0
1322,5341.0,7203.0
1323,2841.0,5256.0
1324,4248.0,7695.0
1325,3411.0,6259.0
1326,4140.0,6334.0
1327,3804.0,5132.0
1328,3365.0,4985.0
1329,6662.0,11399.0
1330,2634.0,4519.0
1331,8823.0,14488.0
1333,8236.0,12462.0
1334,2661.0,4852.0
1335,6040.0,9243.0
1336,9730.0,13641.0
1337,10079.0,15135.0
1338,4166.0,7295.0
1340,3490.0,4987.0
1342,2452.0,3028.0
1343,7643.0,12275.0
1344,6002.0,8276.0
1346,3540.0,5080.0
1347,3298.0,3149.0
1348,3162.0,3686.0
1350,3413.0,4948.0
1351,3112.0,5469.0
1352,3673.0,4815.0
1355,6971.0,11098.0
1358,3707.0,4711.0
1359,25342.0,26835.0
1360,,
1361,4076.0,4888.0
1362,5272.0,7948.0
1363,5772.0,11037.0
1364,3381.0,3997.0
1365,2257.0,3373.0
1366,4521.0,5304.0
1367,4314.0,5834.0
1368,3081.0,5212.0
1369,4881.0,7487.0
1370,4368.0,7440.0
1371,2303.0,3224.0
1374,6382.0,8115.0
1376,6542.0,9071.0
1377,2739.0,4195.0
1378,6620.0,8105.0
1379,6147.0,8410.0
1380,1971.0,3126.0
1381,1646.0,2519.0
1382,5049.0,5965.0
1387,2581.0,3154.0
1388,2978.0,3390.0
1390,8307.0,11732.0
1391,3187.0,3823.0
1392,4927.0,5713.0
1394,5567.0,8977.0
1395,4529.0,8817.0
1396,11202.0,12961.0
1397,14414.0,16646.0
1398,8256.0,9562.0
1399,4640.0,8867.0
1400,4698.0,5480.0
1404,3126.0,2690.0
1405,2257.0,3933.0
1406,5905.0,8373.0
1409,1598.0,2976.0
1415,13333.0,19794.0
1418,9542.0,13698.0
1419,5910.0,8109.0
1421,1146.0,2061.0
1422,2153.0,4651.0
1423,3915.0,7769.0
1424,3301.0,6794.0
1425,10182.0,10520.0
1426,11008.0,19186.0
1427,7722.0,13271.0
1429,3398.0,4444.0
1430,5282.0,6745.0
1431,3260.0,5379.0
1432,3137.0,5324.0
1433,3761.0,6608.0
1434,4443.0,6764.0
1435,1840.0,2899.0
1439,5576.0,5713.0
1440,1874.0,3273.0
1441,1810.0,2777.0
1442,7707.0,7994.0
1444,2466.0,5106.0
1445,4200.0,5931.0
1448,3417.0,5735.0
1449,2102.0,2977.0
1452,4322.0,5742.0
1457,3453.0,5902.0
1460,7888.0,8811.0
1464,9501.0,14645.0
1465,4524.0,5971.0
1466,3245.0,4781.0
1467,4856.0,8102.0
1468,,
1469,1726.0,3200.0
1470,2650.0,3437.0
1472,2851.0,5972.0
1473,1574.0,1691.0
1474,2773.0,3473.0
1475,8839.0,11595.0
1476,6915.0,10372.0
1477,12508.0,17651.0
1478,1854.0,2206.0
1479,4214.0,6512.0
1480,3442.0,4464.0
1481,1585.0,3187.0
1482,1384.0,1880.0
1483,4906.0,7183.0
1484,1204.0,2171.0
1485,7571.0,12752.0
1486,2644.0,4095.0
1487,4139.0,6441.0
1489,7952.0,8765.0
1490,6097.0,8894.0
1491,2485.0,2903.0
1492,2283.0,3471.0
1493,3448.0,5842.0
1495,1052.0,1916.0
1496,2694.0,4244.0
1497,4577.0,9970.0
1498,3959.0,6454.0
1499,7127.0,10354.0
1500,4700.0,9656.0
1501,4287.0,6398.0
1505,4448.0,9051.0
1506,5680.0,8402.0
1507,7239.0,12292.0
1508,2434.0,3593.0
1509,7848.0,8461.0
1510,3344.0,6463.0
1511,5344.0,5107.0
1512,5099.0,7930.0
1513,4705.0,6196.0
1514,2484.0,2852.0
1515,2250.0,3847.0
1516,2498.0,5227.0
1518,2881.0,5229.0
1519,4368.0,6957.0
1520,18448.0,28215.0
1521,1420.0,1921.0
1522,4172.0,6988.0
1523,3625.0,6901.0
1524,5806.0,9636.0
1526,1962.0,3378.0
1528,4095.0,6219.0
1529,13240.0,21577.0
1531,6620.0,9198.0
1532,3852.0,5934.0
1533,2842.0,3720.0
1534,5737.0,8768.0
1535,4021.0,5756.0
1538,1.0,0.0
1539,7331.0,10388.0
1542,8517.0,7671.0
1543,0.0,0.0
1544,3590.0,5324.0
1545,7082.0,8799.0
1546,187.0,757.0
1547,4207.0,7943.0
1548,3657.0,4580.0
1550,1662.0,2094.0
1551,5339.0,8862.0
1552,653.0,634.0
1553,4520.0,7922.0
1554,7257.0,11891.0
1556,3061.0,6604.0
1557,2156.0,2418.0
1559,2746.0,3613.0
1561,5293.0,6683.0
1562,5927.0,9102.0
1563,6920.0,7663.0
1564,4710.0,8019.0
1565,5310.0,9484.0
1566,5883.0,7997.0
1568,3607.0,5629.0
1569,4159.0,5296.0
1570,4913.0,5968.0
